N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
12;GEORGE V;11;1 666;75108;Paris 8e Arrondissement;FIXE;NON;OUI
31;UGC NORMANDIE;4;1 610;75108;Paris 8e Arrondissement;FIXE;NON;OUI
35;BALZAC;3;589;75108;Paris 8e Arrondissement;FIXE;OUI;OUI
54;GAUMONT CHAMPS ELYSEES MARIGNAN;6;1 701;75108;Paris 8e Arrondissement;FIXE;NON;OUI
55;ELYSEES LINCOLN;3;448;75108;Paris 8e Arrondissement;FIXE;OUI;NON
204; UGC OPERA;4;760;75109;Paris 9e Arrondissement;FIXE;NON;NON
214;GAUMONT OPERA CAPUCINES;7;2 169;75109;Paris 9e Arrondissement;FIXE;NON;OUI
301;MAX LINDER;1;591;75109;Paris 9e Arrondissement;FIXE;NON;NON
311;GRAND REX;7;4 274;75102;Paris 2e Arrondissement;FIXE;NON;OUI
321;GAUMONT OPERA PREMIER;6;1 138;75102;Paris 2e Arrondissement;FIXE;NON;NON
451;UGC MONTPARNASSE;7;1 592;75106;Paris 6e Arrondissement;FIXE;NON;OUI
481;GAUMONT PARNASSE;15;2 876;75114;Paris 14e Arrondissement;FIXE;NON;OUI
483;ENTREPOT;3;250;75114;Paris 14e Arrondissement;FIXE;OUI;NON
531;MK2 BEAUBOURG;6;557;75103;Paris 3e Arrondissement;FIXE;OUI;OUI
612;UGC MAILLOT;4;764;75117;Paris 17e Arrondissement;FIXE;NON;NON
721;MK2 HAUTEFEUILLE;4;690;75106;Paris 6e Arrondissement;FIXE;OUI;OUI
731;MK2 ODEON;5;815;75106;Paris 6e Arrondissement;FIXE;NON;OUI
733;STUDIO GALANDE;1;97;75105;Paris 5e Arrondissement;FIXE;OUI;NON
741;LUXEMBOURG;3;334;75106;Paris 6e Arrondissement;FIXE;OUI;NON
751;ST ANDRE DES ARTS;3;510;75106;Paris 6e Arrondissement;FIXE;OUI;NON
801;MK2 PARNASSE;3;284;75106;Paris 6e Arrondissement;FIXE;OUI;OUI
802;UGC ROTONDE;3;454;75106;Paris 6e Arrondissement;FIXE;NON;NON
