Geo Point;Geo Shape;nom_equipement;gestionnaire;telephone;site_web;acces_metro;acces_bus;x;y;numero;lib_off;id_secteur_postal;ville;secteur;quartier;jauge_salle_de_spectacle;oid
43.6239902613,1.43865646667;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438656466667182, 43.62399026128566]]}";CENTRE CULTUREL - THEATRE DES MAZADES;Mairie de Toulouse - DGA Culture;05 31 22 98 00;www.toulouse.fr;Minimes - Claude Nougaro - Barrière de Paris (B);27, 41, 29;1573993;2270491;0010;AV DES MAZADES;31200;TOULOUSE;3;3.1;550 / 56 pl;301
43.564536829,1.39907346879;"{""type"": ""MultiPoint"", ""coordinates"": [[1.399073468794981, 43.56453682897297]]}";CENTRE CULTUREL ALBAN MINVILLE;Mairie de Toulouse - DGA Culture;05 61 43 60 20;www.albanminville.toulouse.fr;Bellefontaine (A);14;1570673;2263947;0001;PL MARTIN LUTHER KING;31100;TOULOUSE;6;6.3;150 pl;302
43.6200175502,1.43512738611;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435127386109482, 43.620017550151424]]}";CENTRE CULTUREL DES MINIMES;Association;05 61 22 51 77;www.centrecultureldesminimes.fr;Minimes - Claude Nougaro (B);10, 15, 41, 59, 60, 69;1573700;2270055;0006;RUE DU CAILLOU GRIS;31200;TOULOUSE;3;3.1;42 pl;304
43.5974233191,1.42927772382;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429277723818225, 43.59742331911164]]}";CENTRE DE DEVELOPPEMENT CHOREGRAPHIQUE (CDC);Association;05 61 59 98 78;www.cdctoulouse.com;Saint-Cyprien - république (A);3, 45, 66;1573181;2267554;0005;AV ETIENNE BILLIERES;31300;TOULOUSE;2;2.1;90 pl;311
43.6032635207,1.43840617626;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438406176259181, 43.60326352074397]]}";CONSERVATOIRE A RAYONNEMENT REGIONAL (CRR) - ESPACE VARESE;Mairie de Toulouse - DGA Culture;05 61 22 28 61;www.conservatoirerayonnementregional.toulouse.fr;Capitole, Esquirol (A);ncv;1573930;2268189;0017;RUE LARREY;31000;TOULOUSE;1;1.1;;315
43.5997812396,1.45392997631;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453929976310654, 43.59978123962156]]}";HALLE AUX GRAINS;Mairie de Toulouse - DGA Culture;05 61 63 13 13;onct.toulouse.fr/halle-aux-grains;François Verdier, Carmes (B);10, 16, 22, 27, 29, 78, 80;1575176;2267779;TOUT;PL DOMINIQUE MARTIN DUPUY;31000;TOULOUSE;1;1.3;2500 pl;321
43.6131154799,1.44132596855;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441325968547288, 43.61311547992342]]}";INSTITUTO CERVANTES;Association;05 61 62 80 72;www.toulouse.cervantes.es/fr;Campans-Caffarelli (B) / Jeanne d'Arc (B);15, 16, 29, 45, 70 (Concorde);1574186;2269279;0031;RUE DES CHALETS;31000;TOULOUSE;1;1.3;130 pl (160m2);322
43.5777054464,1.40412726107;"{""type"": ""MultiPoint"", ""coordinates"": [[1.404127261072394, 43.57770544643717]]}";LA FABRIQUE;Association;05 61 50 43 98;www.ciam-univ-toulouse2.fr;Mirail Université (A);14;1571109;2265402;0005;ALL ANTONIO MACHADO;31100;TOULOUSE;6;6.3;180 pl;324
43.6237416003,1.47670704058;"{""type"": ""MultiPoint"", ""coordinates"": [[1.4767070405811, 43.62374160025737]]}";LE LIDO - CENTRE DES ARTS DU CIRQUE;Mairie de Toulouse - DGA Culture;05 61 11 16  10;www.circolido.fr;Argoulets (A);33, 39, 43, 75, 76;1577063;2270407;0014;RUE DE GAILLAC;31500;TOULOUSE;4;4.2;250 pl;327
43.6018630861,1.44136553611;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441365536110863, 43.601863086110995]]}";PAVILLON MAZAR;Association;05 61 21 11 52;www.groupemerci.net;Esquirol, Capitole (A);ncv, 2, 10, 12, 14, 38, 78, 80;1574166;2268029;0005;RUE DU PRIEURE;31000;TOULOUSE;1;1.1;50 pl;333
43.6079386436,1.45672150033;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456721500332304, 43.60793864358076]]}";THEATRE DU CHIEN BLANC;Association;05 62 16 24 59;www.letheatreduchienblanc.fr;Marengo SNCF (A);23, 27, 37;1575418;2268681;0025;RUE DU GEN JEAN COMPANS;31500;TOULOUSE;4;4.2;40 pl;343
43.5969745363,1.42937597909;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429375979086446, 43.59697453634817]]}";THEATRE LE VENT DES SIGNES;Association;05 61 42 10 70;www.leventdessignes.com;Saint-Cyprien-République (A);1, 3, 14, 45, 66;1573188;2267504;0006;IMP VARSOVIE;31300;TOULOUSE;2;2.1;99 pl;350
43.6083254264,1.44460752917;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444607529170136, 43.60832542644568]]}";CENTRE CULTUREL BELLEGARDE;Mairie de Toulouse - DGA Culture;05 62 27 44 88;www.toulouse.fr;Jeanne-D'Arc (B);ncv, 15, 16, 23, 29, 38, 42, 44, 45, 70;1574441;2268742;0017;RUE BELLEGARDE;31000;TOULOUSE;1;1.1;80 pl assises;303
43.5616730565,1.37899412833;"{""type"": ""MultiPoint"", ""coordinates"": [[1.378994128328354, 43.561673056454744]]}";CENTRE D'ANIMATION SAINT SIMON;Mairie de Toulouse - DGA Culture;05 31 22 96 81;www.toulouse.fr;Bass-Combo (A);87, 53, 48 + 10mns à pieds (arrêts Charpy/chemin Tucaut/ Guilhermy);1569045;2263660;0010;CHE DE LIFFARD;31100;TOULOUSE;6;6.4;120 places;309
43.6113954837,1.4466355547;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446635554704432, 43.61139548371207]]}";CICC - SAMBA RESILLE;Association;05 34 41 62 16;www.samba-resille.org;Jeanne dArc (B);38, 42, 44;1574611;2269080;0038;RUE ROQUELAINE;31000;TOULOUSE;1;1.3;150 pl;314
43.6168524032,1.40835736016;"{""type"": ""MultiPoint"", ""coordinates"": [[1.408357360161727, 43.61685240316872]]}";ESPACE JOB;Mairie de Toulouse - DGA Culture;05 34 43 24 91;www.cultures.toulouse.fr;;16, 70;1571533;2269744;0105;RTE DE BLAGNAC;31200;TOULOUSE;3;3.2;134 pl - 60m2 plateau;318
43.5961643226,1.4273901705;"{""type"": ""MultiPoint"", ""coordinates"": [[1.42739017050071, 43.59616432258295]]}";ESPACE ROGUET - MJC ROGUET;Autre institution publique;05 62 86 01 67;www.haute-garonne.fr;Saint-Cyprien-République, Patte d'Oie (A);14, 45, 66 (Arrêt Roguet);1573026;2267417;0009;RUE DE GASCOGNE;31300;TOULOUSE;2;2.1;150 pl;319
43.6116897618,1.44107741389;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441077413885324, 43.611689761792256]]}";LA COMEDIE DE TOULOUSE;Structure commerciale;0899 19 91 91;www.lacomediedetoulouse.com;Jeanne d'Arc (B);15, 16, 29, 45, 70;1574163;2269121;0016;RUE SAINT GERMIER;31000;TOULOUSE;1;1.3;300 pl;323
43.5844009243,1.42759406089;"{""type"": ""MultiPoint"", ""coordinates"": [[1.427594060885855, 43.5844009243199]]}";LE BIJOU;Structure commerciale;05 61 42 95 07;www.le-bijou.net;;12;1573018;2266110;0123;AV DE MURET;31300;TOULOUSE;2;2.2;100 pl;325
43.5741388702,1.4536628535;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453662853498098, 43.57413887016047]]}";NOUVEAU THEATRE JULES JULIEN;Mairie de Toulouse - DGA Culture;05 81 91 79 19;www.sorano-julesjulien.toulouse.fr;Saint Agne, Souazelong, Rangueil (B);2;1575102;2264931;0006;AV DES ECOLES JULES JULIEN;31400;TOULOUSE;5;5.2;345 pl;332
43.6366630659,1.44248443695;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442484436954948, 43.636663065856844]]}";SALLE ERNEST RENAN;Mairie de Toulouse - DGA Culture;05 61 57 99 28;;;;1574328;2271893;0005;CHE D AUDIBERT;31200;TOULOUSE;3;3.3;230 pl;336
43.6038707928,1.44405207646;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44405207645748, 43.60387079276422]]}";THEATRE DU CAPITOLE;Mairie de Toulouse - DGA Culture;05 61 63 13 13;www.theatre-du-capitole.fr;Capitole (A);ncv;1574387;2268248;0001;PL DU CAPITOLE;31000;TOULOUSE;1;1.1;1156 pl;342
43.5969734798,1.43327787573;"{""type"": ""MultiPoint"", ""coordinates"": [[1.433277875733747, 43.596973479752926]]}";THEATRE DU PONT NEUF;Association;05 62 21 51 78;www.theatredupontneuf.fr;Saint-Cyprien-République (A);1, 2, 3, 12, 14, 52, 53, 66, 78, 79, 80;1573503;2267498;0008;PL BENOIT ARZAC;31300;TOULOUSE;2;2.1;50 pl;347
43.6062770526,1.45566091957;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455660919571028, 43.60627705261291]]}";THEATRE LES 3 T;Structure commerciale;06 10 02 63 70;www.3tcafetheatre.com;Jean Jaurès (B);;1575329;2268498;0040;RUE GABRIEL PERI;31000;TOULOUSE;1;1.3;250 /135 /135 pl;351
43.5992078761,1.4083714612;"{""type"": ""MultiPoint"", ""coordinates"": [[1.4083714612048, 43.599207876072875]]}";ZENITH;Structure commerciale;05 62 74 49 49;www.cultures.toulouse.fr;Patte d'Oie, Arènes (A);14, 46, 63, 64, 65, 67;1571497;2267784;0011;AV RAYMOND BADIOU;31300;TOULOUSE;2;2.4;9000 pl;354
43.6040789306,1.43546166613;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435461666133191, 43.6040789306337]]}";AUDITORIUM SAINT - PIERRE DES CUISINES;Mairie de Toulouse - DGA Culture;05 61 22 3105;www.conservatoire.mairie-toulouse.fr;Capitole, Saint Cyprien République (A) - Compans- Caffarelli (B);ncv, 1, 63;1573694;2268284;0012;PL SAINT PIERRE;31000;TOULOUSE;1;1.1;402 pl;296
43.6163676383,1.43949581059;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439495810586022, 43.61636763834289]]}";CAFE THEATRE LE 57;Structure commerciale;05 34 40 61 31;www.le57toulouse.com;Claude Nougaro (B);29;1574045;2269643;0057;BD DES MINIMES;31200;TOULOUSE;3;3.1;120 pl;297
43.6209076332,1.43504260763;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435042607627482, 43.62090763316864]]}";CAFE THEATRE LES MINIMES;Structure commerciale;05 62 72 06 36;www.lesminimes.com;Minimes-Claude-Nougaro (B);29;1573695;2270154;0006;RUE GELIBERT;31200;TOULOUSE;3;3.1;200 pl;298
43.5727329416,1.43482837234;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434828372335125, 43.572732941583766]]}";CASINO THEATRE BARRIERE;Structure commerciale;05 61 33 37 77;www.lucienbarriere.com;;Navette gratuite;1573578;2264803;0018;CHE DE LA LOGE;31400;TOULOUSE;5;5.3;1200 pl;299
43.6071844975,1.44210926561;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442109265611541, 43.60718449749188]]}";CAVE POESIE;Association;05 61 23 62 00;www.cave.poesie.com;Capitole (A),  Jeanne-D'Arc (B);nvc;1574237;2268619;0071;RUE DU TAUR;31000;TOULOUSE;1;1.1;65 / 50 pl;300
43.5794590825,1.4118334445;"{""type"": ""MultiPoint"", ""coordinates"": [[1.411833444495625, 43.579459082465625]]}";CENTRE CULTUREL HENRI DESBALS;Mairie de Toulouse - DGA Culture;05 34 46 83 25;www.toulouse.fr;Bagatelle (A);3;1571735;2265585;0128;RUE HENRI DESBALS;31100;TOULOUSE;2;2.3;176 pl;305
43.5704228483,1.40285653083;"{""type"": ""MultiPoint"", ""coordinates"": [[1.40285653082598, 43.57042284825551]]}";CENTRE D'ANIMATION REYNERIE;Mairie de Toulouse - DGA Culture;05 61 41 56 80;www.toulouse.fr;Reynerie (A);Ligne14, arrêt Reynerie;1570991;2264595;0003;PL ANDRE ABBAL;31100;TOULOUSE;6;6.3;;308
43.5994179732,1.45100338122;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451003381220686, 43.59941797321643]]}";CHAPELLE SAINTE ANNE;Mairie de Toulouse - Autre Direction;;;Françcois-Verdier (B);10, 29, 78, 80;1574939;2267743;0015;RUE SAINTE ANNE;31000;TOULOUSE;1;1.1;;313
43.5998185707,1.44798307405;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447983074053986, 43.599818570747296]]}";ESPACE CROIX BARAGNON;Mairie de Toulouse - DGA Culture;05 62 27 60 60;www.cultures.toulouse.fr;Esquirol (A), Carmes, François Verdier (B);15, 16, 23, 38, 42, 44, 70, 71;1574696;2267792;0024;RUE CROIX BARAGNON;31000;TOULOUSE;1;1.1;178 pl;317
43.6314414168,1.47283385779;"{""type"": ""MultiPoint"", ""coordinates"": [[1.472833857786347, 43.631441416787965]]}";LE GRENIER THEATRE;Association;05 61 48 21 00;www.legreniertheatre.org;Argoulets (A);19;1576766;2271268;0014;IMP DE GRAMONT;31200;TOULOUSE;4;4.1;100 pl;326
43.6059294352,1.42786951443;"{""type"": ""MultiPoint"", ""coordinates"": [[1.427869514425946, 43.60592943517116]]}";LE MANDALA;Structure commerciale;05 61 21 10 05;www.lemandala.com;Saint-Cyprien République ( A ),  Compans Caffarelli (B);1,  16, 63, 70,  71;1573085;2268501;0023;RUE DES AMIDONNIERS;31000;TOULOUSE;1;1.2;140 pl;328
43.6119586243,1.43831998764;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438319987637999, 43.61195862425079]]}";LE REX DE L'HUMOUR;Structure commerciale;05 81 76 06 91;www.lerexdelhumour.com;Campans Caffarelli (B);70, 71;1573941;2269155;0015;AV HONORE SERRES;31000;TOULOUSE;1;1.2;250 pl;330
43.5856184022,1.46593002825;"{""type"": ""MultiPoint"", ""coordinates"": [[1.465930028252786, 43.58561840217478]]}";MJC PONT DES DEMOISELLES;Association;05 61 52 24 33;www.toulouse.fr;;10;1576116;2266188;0063B;AV ANTOINE DE ST EXUPERY;31400;TOULOUSE;5;5.1;200 pl;331
43.5894738831,1.47974179746;"{""type"": ""MultiPoint"", ""coordinates"": [[1.479741797463106, 43.589473883131426]]}";SALLE DES FETES DE LIMAYRAC;Mairie de Toulouse - DGA Culture;05 61 54 23 60;http://www.val-de-limayrac.info/info-limayrac/activites-salle.php;;23;1577239;2266596;0022;RUE XAVIER DARASSE;31500;TOULOUSE;4;4.3;;334
43.6147311232,1.45438140967;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454381409671219, 43.61473112322182]]}";THEATRE DU HANGAR;Association;05 61 48 38 29;http://theatrelehangar.over-blog.fr;Marengo-SNCF (A);38, 42, 44;1575243;2269439;0011;RUE DES CHEMINOTS;31500;TOULOUSE;4;4.1;44 pl;345
